Latitude (decimal degrees):	47.281
Longitude (decimal degrees):	9.671
Elevation (m):	682
Radiation database:	PVGIS-CMSAF


Slope: 0
Azimuth: 0
Date,Bi,Di,Ri,As,Tamb,W10,Int.
20160109:0155,0.00,0.00,0.00,0.00,6.30,2.83,0
20160109:0255,0.00,0.00,0.00,0.00,6.01,2.81,0
20160109:0355,0.00,0.00,0.00,0.00,5.71,2.79,0
20160109:0455,0.00,0.00,0.00,0.00,5.71,2.80,0
20160109:0555,0.00,0.00,0.00,0.00,5.71,2.82,0
20160109:0655,0.00,0.00,0.00,0.00,5.71,2.84,0
20160109:0755,0.00,32.60,0.00,5.78,6.00,2.74,0
20160109:0855,4.00,75.50,0.00,12.59,6.28,2.65,0
20160109:0955,0.05,73.95,0.00,17.55,6.57,2.55,0
20160109:1055,0.00,83.65,0.00,20.22,7.12,2.45,0
20160109:1155,0.00,39.40,0.00,20.33,7.67,2.34,0
20160109:1255,0.00,43.65,0.00,17.86,8.22,2.23,0
20160109:1355,0.00,41.45,0.00,13.07,8.35,2.10,0
20160109:1455,0.00,15.80,0.00,6.39,8.47,1.96,0
20160109:1555,0.00,0.00,0.00,0.00,8.60,1.82,0
20160109:1655,0.00,0.00,0.00,0.00,8.03,1.81,0
20160109:1755,0.00,0.00,0.00,0.00,7.47,1.79,0
20160109:1855,0.00,0.00,0.00,0.00,6.90,1.78,0
20160109:1955,0.00,0.00,0.00,0.00,6.33,1.82,0
20160109:2055,0.00,0.00,0.00,0.00,5.76,1.85,0
20160109:2155,0.00,0.00,0.00,0.00,5.20,1.89,0
20160109:2255,0.00,0.00,0.00,0.00,5.07,1.98,0
20160109:2355,0.00,0.00,0.00,0.00,4.94,2.06,0
20160110:0055,0.00,0.00,0.00,0.00,4.81,2.15,0
20160110:0155,0.00,0.00,0.00,0.00,4.87,2.11,0
20160110:0255,0.00,0.00,0.00,0.00,4.94,2.06,0
20160110:0355,0.00,0.00,0.00,0.00,5.00,2.01,0
20160110:0455,0.00,0.00,0.00,0.00,5.00,2.05,0
20160110:0555,0.00,0.00,0.00,0.00,5.00,2.09,0
20160110:0655,0.00,0.00,0.00,0.00,5.00,2.12,0
20160110:0755,0.00,4.05,0.00,5.85,5.63,2.20,0
20160110:0855,0.00,49.55,0.00,12.68,6.27,2.27,0
20160110:0955,0.00,21.80,0.00,17.66,6.90,2.34,0
20160110:1055,0.00,29.20,0.00,20.36,7.68,2.29,0
20160110:1155,0.00,21.85,0.00,20.48,8.47,2.24,0
20160110:1255,20.11,135.45,0.00,18.02,9.25,2.19,0
20160110:1355,0.00,31.35,0.00,13.24,8.62,2.36,0
20160110:1455,1.50,32.85,0.00,6.56,7.98,2.52,0
20160110:1555,0.00,0.00,0.00,0.00,7.35,2.69,0
20160110:1655,0.00,0.00,0.00,0.00,7.34,3.05,0
20160110:1755,0.00,0.00,0.00,0.00,7.33,3.41,0
20160110:1855,0.00,0.00,0.00,0.00,7.32,3.77,0
20160110:1955,0.00,0.00,0.00,0.00,7.31,3.46,0
20160110:2055,0.00,0.00,0.00,0.00,7.30,3.15,0
20160110:2155,0.00,0.00,0.00,0.00,7.29,2.84,0
20160110:2255,0.00,0.00,0.00,0.00,6.81,2.52,0
20160110:2355,0.00,0.00,0.00,0.00,6.34,2.21,0
20160111:0055,0.00,0.00,0.00,0.00,5.86,1.89,0
20160111:0155,0.00,0.00,0.00,0.00,5.95,2.18,0
20160111:0255,0.00,0.00,0.00,0.00,6.05,2.48,0
20160111:0355,0.00,0.00,0.00,0.00,6.14,2.77,0
20160111:0455,0.00,0.00,0.00,0.00,5.98,2.82,0
20160111:0555,0.00,0.00,0.00,0.00,5.81,2.87,0
20160111:0655,0.00,0.00,0.00,0.00,5.65,2.92,0
20160111:0755,0.00,2.70,0.00,5.93,6.40,3.33,0
20160111:0855,0.00,45.80,0.00,12.78,7.16,3.74,0
20160111:0955,0.00,9.95,0.00,17.78,7.91,4.15,0
20160111:1055,0.00,12.20,0.00,20.50,8.59,4.24,0
20160111:1155,0.00,12.30,0.00,20.64,9.27,4.34,0
20160111:1255,14.56,131.55,0.00,18.19,9.95,4.43,0
20160111:1355,0.00,6.75,0.00,13.41,9.29,3.77,0
20160111:1455,33.88,42.11,0.00,6.74,8.63,3.12,0
20160111:1555,0.00,0.00,0.00,0.00,7.97,2.47,0
20160111:1655,0.00,0.00,0.00,0.00,7.48,2.74,0
20160111:1755,0.00,0.00,0.00,0.00,7.00,3.01,0
